source_table,source_field,source_value_example,keep_indicator,model_table,model_field_name,comments
r_ks2,WRITPROG_EAL_UPPER,8.5,Reject,,,
r_ks2,WRITPROG_MOBN,2.4,Reject,,,
r_ks2,WRITPROG_MOBN_LOWER,1.2,Reject,,,
r_ks2,WRITPROG_MOBN_UPPER,3.6,Reject,,,
r_ks2,MATPROG_B,0.4,Reject,,,
r_ks2,MATPROG_B_LOWER,-1.2,Reject,,,
r_ks2,MATPROG_B_UPPER,2.0,Reject,,,
r_ks2,MATPROG_G,-0.6,Reject,,,
r_ks2,MATPROG_G_LOWER,-2.1,Reject,,,
r_ks2,MATPROG_G_UPPER,0.9,Reject,,,
r_ks2,MATPROG_L,SUPP,Reject,,,
r_ks2,MATPROG_L_LOWER,SUPP,Reject,,,
r_ks2,MATPROG_L_UPPER,SUPP,Reject,,,
r_ks2,MATPROG_M,-0.3,Reject,,,
r_ks2,MATPROG_M_LOWER,-1.7,Reject,,,
r_ks2,MATPROG_M_UPPER,1.1,Reject,,,
r_ks2,MATPROG_H,0.0,Reject,,,
r_ks2,MATPROG_H_LOWER,-1.7,Reject,,,
r_ks2,MATPROG_H_UPPER,1.7,Reject,,,
r_ks2,MATPROG_FSM6CLA1A,-0.5,Reject,,,
r_ks2,MATPROG_FSM6CLA1A_LOWER,-3.2,Reject,,,
r_ks2,MATPROG_FSM6CLA1A_UPPER,2.2,Reject,,,
r_ks2,MATPROG_NotFSM6CLA1A,-0.1,Reject,,,
r_ks2,MATPROG_NotFSM6CLA1A_LOWER,-1.3,Reject,,,
r_ks2,MATPROG_NotFSM6CLA1A_UPPER,1.1,Reject,,,
r_ks2,DIFFN_MATPROG,-0.8,Reject,,,
r_ks2,MATPROG_EAL,-0.9,Reject,,,
r_ks2,MATPROG_EAL_LOWER,-4.8,Reject,,,
r_ks2,MATPROG_EAL_UPPER,3.0,Reject,,,
r_ks2,MATPROG_MOBN,0.2,Reject,,,
r_ks2,MATPROG_MOBN_LOWER,-0.9,Reject,,,
r_ks2,MATPROG_MOBN_UPPER,1.3,Reject,,,
