la_key,year_key,nc_key,admission_numbers,applications_received,online_applications,no_of_preferences,first_preference_offers,second_preference_offers,third_preference_offers,preferred_school_offer,non_preferred_offer,no_offer,schools_in_la_offer,schools_in_another_la_offer
21,2020,8,2475,2337,2165,3,1973,195,52,2222,100,15,2114,226
22,2020,8,6583,6811,5742,6,5041,825,294,6269,542,0,5975,836
23,2020,8,3646,3333,3330,6,2436,386,154,3023,307,3,3210,120
24,2020,8,3015,2962,2886,4,2568,202,54,2839,123,0,2698,264
25,2020,8,2568,2732,2578,6,2146,238,72,2482,246,4,2385,343
26,2020,8,3300,3380,3369,6,2719,312,91,3175,203,2,3153,240
27,2020,8,3232,2786,2775,6,2378,229,51,2686,98,2,2648,136
28,2020,8,3375,3121,3085,5,2477,354,131,3062,42,17,2893,240
29,2020,8,3993,3760,3550,3,3396,229,41,3666,88,6,3544,210
43,2020,8,2650,2541,2230,3,2377,106,11,2494,43,4,2378,159
44,2020,8,3908,3482,3428,3,2986,148,194,3328,154,0,3356,126
45,2020,8,3741,3081,2335,3,2827,136,31,2994,87,0,3038,43
46,2020,8,6101,6281,3294,3,5629,331,98,6058,223,0,6052,229
47,2020,8,7368,7735,7429,5,5805,737,329,7224,494,17,6995,723
48,2020,8,3019,2520,2519,5,2213,134,65,2440,72,8,2509,65
49,2020,8,5055,5040,5003,3,4173,460,177,4810,230,0,4759,342
50,2020,8,9703,9286,8773,5,7668,759,263,8853,433,0,8935,360
51,2020,8,4240,3779,3758,5,3614,94,6,3716,62,1,3718,71
8,2020,8,2378,1904,1771,3,1637,158,41,1836,68,0,1830,77
9,2020,8,2389,2550,2185,4,1886,270,109,2292,237,21,2408,145
10,2020,8,1731,1641,1539,3,1465,91,26,1583,50,8,1576,133
11,2020,8,1748,1562,1495,3,1438,79,7,1524,36,2,1568,20
12,2020,8,3332,2792,2715,3,2565,149,33,2747,0,45,2627,120
111,2020,8,2416,1751,1682,5,1575,107,29,1712,39,0,1728,23
112,2020,8,4205,4559,4437,3,3452,526,265,4243,316,0,4126,433
113,2020,8,2646,2375,2255,3,2249,71,15,2335,39,1,2313,61
114,2020,8,3090,3061,2960,3,2537,302,93,2932,129,0,2589,472
1,2020,8,1230,1134,1030,3,1039,57,14,1110,24,0,1121,13
2,2020,8,1764,1875,1574,3,1529,166,67,1763,92,20,1650,234
3,2020,8,1847,1397,1177,3,1311,63,8,1382,14,1,1386,59
4,2020,8,2497,2228,2061,4,1970,129,64,2172,54,2,2232,38
38,2020,8,3105,3186,2668,3,2726,251,76,3053,132,1,2921,264
39,2020,8,4179,3175,2734,3,3019,112,6,3137,38,0,2983,192
40,2020,8,2038,1785,1493,3,1577,138,14,1729,56,0,1685,100
41,2020,8,2250,2027,1826,6,1890,89,11,1991,35,1,1955,81
52,2020,8,7400,5806,5687,5,5277,278,67,5634,167,5,5731,225
42,2020,8,1971,1934,1902,5,1720,123,26,1881,53,0,1867,67
