year_of_entry,la_name,school_phase,measure,count
2021,Warwickshire,Primary,Applications Received,5992
2021,West Sussex,Primary,Admission Numbers,10110
2021,West Sussex,Primary,Applications Received,8844
2021,City of London,Secondary,Admission Numbers,0
2021,City of London,Secondary,Applications Received,23
2021,Camden,Secondary,Admission Numbers,1704
2021,Camden,Secondary,Applications Received,1535
2021,Greenwich,Secondary,Admission Numbers,3073
2021,Greenwich,Secondary,Applications Received,3397
2021,Hackney,Secondary,Admission Numbers,2556
2021,Hackney,Secondary,Applications Received,2411
2021,Hammersmith and Fulham,Secondary,Admission Numbers,1574
2021,Hammersmith and Fulham,Secondary,Applications Received,1314
2021,Islington,Secondary,Admission Numbers,1705
2021,Islington,Secondary,Applications Received,1812
2021,Kensington and Chelsea,Secondary,Admission Numbers,1015
2021,Kensington and Chelsea,Secondary,Applications Received,754
2021,Lambeth,Secondary,Admission Numbers,2729
2021,Lambeth,Secondary,Applications Received,2548
2021,Lewisham,Secondary,Admission Numbers,2455
2021,Lewisham,Secondary,Applications Received,3120
2021,Southwark,Secondary,Admission Numbers,3439
2021,Southwark,Secondary,Applications Received,2908
2021,Tower Hamlets,Secondary,Admission Numbers,3046
2021,Tower Hamlets,Secondary,Applications Received,3184
2021,Wandsworth,Secondary,Admission Numbers,2282
2021,Wandsworth,Secondary,Applications Received,2348
2021,Westminster,Secondary,Admission Numbers,1760
2021,Westminster,Secondary,Applications Received,1061
2021,Barking and Dagenham,Secondary,Admission Numbers,3580
2021,Barking and Dagenham,Secondary,Applications Received,3317
2021,Barnet,Secondary,Admission Numbers,4849
2021,Barnet,Secondary,Applications Received,4312
2021,Bexley,Secondary,Admission Numbers,3513
2021,Bexley,Secondary,Applications Received,3112
2021,Brent,Secondary,Admission Numbers,3431
2021,Brent,Secondary,Applications Received,3637
2021,Bromley,Secondary,Admission Numbers,4071
2021,Bromley,Secondary,Applications Received,3893
2021,Croydon,Secondary,Admission Numbers,4271
2021,Croydon,Secondary,Applications Received,4665
2021,Ealing,Secondary,Admission Numbers,3774
2021,Ealing,Secondary,Applications Received,4108
2021,Enfield,Secondary,Admission Numbers,4330
2021,Enfield,Secondary,Applications Received,4446
2021,Haringey,Secondary,Admission Numbers,2747
