lea,urn,estab,dfe_number,laestab,schname,admin_district,academic_year,estab_type,education_phase,relchar,percentage_fsm,ofsted_rating,totpups,readprog,writprog,matprog
850,115902,2092,850/2092,8502092,Hambledon Primary School,Winchester,2016-2017,Local authority maintained schools,Primary,Does not apply,2.9,Outstanding,111,4.8,-0.1,0.9
850,115902,2092,850/2092,8502092,Hambledon Primary School,Winchester,2017-2018,Local authority maintained schools,Primary,Does not apply,2.9,Outstanding,111,0.6,-3.5,-1.9
850,115902,2092,850/2092,8502092,Hambledon Primary School,Winchester,2018-2019,Local authority maintained schools,Primary,Does not apply,2.9,Outstanding,117,-2.3,-0.2,-3.3
850,115908,2100,850/2100,8502100,Riders Junior School,Havant,2016-2017,Local authority maintained schools,Primary,Does not apply,50.3,Good,272,-2.3,1.8,-3.7
850,115908,2100,850/2100,8502100,Riders Junior School,Havant,2017-2018,Local authority maintained schools,Primary,Does not apply,50.3,Good,308,-1.9,1.8,-1.6
850,115908,2100,850/2100,8502100,Riders Junior School,Havant,2018-2019,Local authority maintained schools,Primary,Does not apply,50.3,Good,311,-3.8,-4.6,-4.9
850,115911,2103,850/2103,8502103,Trosnant Junior School,Havant,2016-2017,Local authority maintained schools,Primary,Does not apply,43.8,Good,228,-0.1,-0.1,-1.9
850,115911,2103,850/2103,8502103,Trosnant Junior School,Havant,2017-2018,Local authority maintained schools,Primary,Does not apply,43.8,Good,225,-0.3,-2,-1.8
850,115911,2103,850/2103,8502103,Trosnant Junior School,Havant,2018-2019,Local authority maintained schools,Primary,Does not apply,43.8,Good,254,3.5,4.1,2.6
850,115913,2105,850/2105,8502105,Hawley Primary School,Hart,2016-2017,Local authority maintained schools,Primary,Does not apply,2.6,Good,310,-1.9,-0.7,-2.9
850,115913,2105,850/2105,8502105,Hawley Primary School,Hart,2017-2018,Local authority maintained schools,Primary,Does not apply,2.6,Good,314,-1.6,-1,-1.9
850,115913,2105,850/2105,8502105,Hawley Primary School,Hart,2018-2019,Local authority maintained schools,Primary,Does not apply,2.6,Good,314,-2.4,-2.3,-2.4
850,115914,2106,850/2106,8502106,Mill Rythe Junior School,Havant,2016-2017,Local authority maintained schools,Primary,Does not apply,10.3,Outstanding,274,-0.9,-0.3,-0.5
850,115914,2106,850/2106,8502106,Mill Rythe Junior School,Havant,2017-2018,Local authority maintained schools,Primary,Does not apply,10.3,Outstanding,294,-0.9,0.1,-1.1
850,115914,2106,850/2106,8502106,Mill Rythe Junior School,Havant,2018-2019,Local authority maintained schools,Primary,Does not apply,10.3,Outstanding,312,1.1,0,1.1
850,115915,2111,850/2111,8502111,Tiptoe Primary School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,8.3,Good,127,1.1,0.7,-2.7
850,115915,2111,850/2111,8502111,Tiptoe Primary School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,8.3,Good,130,4.2,2.7,2.1
850,115915,2111,850/2111,8502111,Tiptoe Primary School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,8.3,Good,128,0,-1.6,-3.4
850,115916,2113,850/2113,8502113,Hythe Primary School,New Forest,2016-2017,Local authority maintained schools,Primary,Does not apply,10.9,Requires improvement,316,-2.8,-1.5,-2.3
850,115916,2113,850/2113,8502113,Hythe Primary School,New Forest,2017-2018,Local authority maintained schools,Primary,Does not apply,10.9,Requires improvement,317,-0.9,-1.3,-2.9
850,115916,2113,850/2113,8502113,Hythe Primary School,New Forest,2018-2019,Local authority maintained schools,Primary,Does not apply,10.9,Requires improvement,312,1.2,-1.6,-3.5
850,115919,2116,850/2116,8502116,Bosmere Junior School,Havant,2016-2017,Local authority maintained schools,Primary,Does not apply,9.3,Good,355,0.4,1.1,1.5
